 
Alpha Wing   i Wing   Alpha Body   CD0 Fus   CD base   CD upsweep   CD(Lift)    CDtot     CM
-2.0         1.5      -3.5         0.0057    0.0000    0.0001       0.0002      0.0061    -0.1513
-1.5         1.5      -3.0         0.0057    0.0000    0.0001       0.0001      0.0060    -0.1362
-1.0         1.5      -2.5         0.0057    0.0000    0.0001       0.0001      0.0059    -0.1211
-0.5         1.5      -2.0         0.0057    0.0000    0.0001       0.0000      0.0059    -0.1061
0.1          1.5      -1.4         0.0057    0.0000    0.0001       0.0000      0.0059    -0.0910
0.6          1.5      -0.9         0.0057    0.0000    0.0001       0.0000      0.0059    -0.0760
1.1          1.5      -0.4         0.0057    0.0000    0.0001       0.0000      0.0059    -0.0609
1.6          1.5      0.1          0.0057    0.0000    0.0001       0.0000      0.0059    -0.0458
2.1          1.5      0.6          0.0057    0.0000    0.0001       0.0000      0.0059    -0.0308
2.6          1.5      1.1          0.0057    0.0000    0.0001       0.0000      0.0059    -0.0157
3.1          1.5      1.6          0.0057    0.0000    0.0001       0.0000      0.0059    -0.0006
3.6          1.5      2.1          0.0057    0.0000    0.0001       0.0000      0.0059    0.0144
4.2          1.5      2.7          0.0057    0.0000    0.0001       0.0001      0.0059    0.0295
4.7          1.5      3.2          0.0057    0.0000    0.0001       0.0001      0.0060    0.0445
5.2          1.5      3.7          0.0057    0.0000    0.0001       0.0002      0.0061    0.0596
5.7          1.5      4.2          0.0057    0.0000    0.0001       0.0003      0.0062    0.0747
6.2          1.5      4.7          0.0057    0.0000    0.0001       0.0005      0.0063    0.0897
6.7          1.5      5.2          0.0057    0.0000    0.0001       0.0006      0.0065    0.1048
7.2          1.5      5.7          0.0057    0.0000    0.0001       0.0009      0.0067    0.1198
7.7          1.5      6.2          0.0057    0.0000    0.0001       0.0011      0.0070    0.1349
8.3          1.5      6.8          0.0057    0.0000    0.0001       0.0014      0.0073    0.1500
8.8          1.5      7.3          0.0057    0.0000    0.0001       0.0017      0.0076    0.1650
9.3          1.5      7.8          0.0057    0.0000    0.0001       0.0021      0.0080    0.1801
9.8          1.5      8.3          0.0057    0.0000    0.0001       0.0026      0.0085    0.1952
10.3         1.5      8.8          0.0057    0.0000    0.0001       0.0031      0.0090    0.2102
10.8         1.5      9.3          0.0057    0.0000    0.0001       0.0037      0.0095    0.2253
11.3         1.5      9.8          0.0057    0.0000    0.0001       0.0043      0.0102    0.2403
11.8         1.5      10.3         0.0057    0.0000    0.0001       0.0050      0.0109    0.2554
12.4         1.5      10.9         0.0057    0.0000    0.0001       0.0058      0.0117    0.2705
12.9         1.5      11.4         0.0057    0.0000    0.0001       0.0067      0.0126    0.2855
13.4         1.5      11.9         0.0057    0.0000    0.0001       0.0076      0.0135    0.3006
13.9         1.5      12.4         0.0057    0.0000    0.0001       0.0087      0.0145    0.3157
14.4         1.5      12.9         0.0057    0.0000    0.0001       0.0098      0.0157    0.3307
14.9         1.5      13.4         0.0057    0.0000    0.0001       0.0110      0.0169    0.3458
15.4         1.5      13.9         0.0057    0.0000    0.0001       0.0123      0.0182    0.3608
15.9         1.5      14.4         0.0057    0.0000    0.0001       0.0137      0.0196    0.3759
16.5         1.5      15.0         0.0057    0.0000    0.0001       0.0153      0.0211    0.3910
17.0         1.5      15.5         0.0057    0.0000    0.0001       0.0169      0.0227    0.4060
17.5         1.5      16.0         0.0057    0.0000    0.0001       0.0186      0.0245    0.4211
18.0         1.5      16.5         0.0057    0.0000    0.0001       0.0205      0.0263    0.4362
