Nome = NACA 63-515
Mach = 0; Re = 6500000; T.U. = 1.0; T.L. = 1.0
Superfice = 0; Modello per ls stallo = 1; Transition model = 8; Allungamento = 0; Ala in effetto suolo = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-10.0	-0.614	0.01011	-0.091	0.550	0.009	1.000	0.870	-60.672	0.337	0.101
-9.0	-0.527	0.00892	-0.099	0.531	0.012	1.000	0.915	-59.105	0.325	0.063
-8.0	-0.428	0.00828	-0.105	0.509	0.014	1.000	0.955	-51.659	0.306	0.004
-7.0	-0.313	0.00773	-0.111	0.501	0.015	1.000	0.997	-40.461	0.281	-0.104
-6.0	-0.193	0.00734	-0.112	0.479	0.017	1.000	0.997	-26.274	0.262	-0.332
-5.0	-0.072	0.00708	-0.114	0.462	0.019	1.000	0.997	-10.171	0.262	-1.330
-4.0	0.050	0.00686	-0.115	0.439	0.028	1.000	0.997	7.225	0.261	2.572
-3.0	0.172	0.00668	-0.117	0.428	0.035	1.000	0.997	25.678	0.261	0.930
-2.0	0.294	0.00659	-0.118	0.404	0.059	1.000	0.998	44.577	0.261	0.651
-1.0	0.415	0.00666	-0.119	0.343	0.142	1.000	0.998	62.382	0.261	0.537
-0.0	0.537	0.00680	-0.120	0.286	0.234	1.000	0.998	79.006	0.260	0.474
1.0	0.659	0.00736	-0.122	0.188	0.336	1.000	0.998	89.445	0.260	0.435
2.0	0.779	0.00794	-0.123	0.122	0.406	1.000	0.998	98.076	0.260	0.408
3.0	0.899	0.00887	-0.124	0.054	0.434	1.000	0.998	101.293	0.259	0.388
4.0	1.018	0.00961	-0.125	0.030	0.453	1.000	0.998	105.970	0.259	0.373
5.0	1.135	0.01030	-0.126	0.024	0.474	1.000	0.998	110.230	0.259	0.361
6.0	1.250	0.01115	-0.127	0.017	0.487	1.000	0.997	112.136	0.261	0.352
7.0	1.356	0.01160	-0.129	0.011	0.512	0.994	0.998	116.859	0.264	0.345
8.0	1.458	0.01214	-0.130	0.007	0.526	0.990	0.997	120.076	0.273	0.339
9.0	1.543	0.01425	-0.133	0.007	0.550	0.974	0.997	108.314	0.304	0.336
10.0	1.604	0.01586	-0.138	0.004	0.566	0.942	0.997	101.131	0.343	0.336
11.0	1.655	0.01761	-0.143	0.004	0.591	0.912	0.997	93.971	0.381	0.337
12.0	1.690	0.01964	-0.149	0.004	0.614	0.882	0.997	86.052	0.497	0.338
13.0	1.705	0.02217	-0.156	0.003	0.637	0.851	0.997	76.896	4.208	0.341
14.0	1.694	0.02597	-0.164	0.001	0.664	0.808	0.997	65.203	-0.268	0.347
15.0	1.675	0.02919	-0.171	0.002	0.696	0.776	0.997	57.383	0.002	0.352
16.0	1.623	0.03498	-0.181	0.001	0.725	0.722	0.996	46.397	0.071	0.362
17.0	1.565	0.04056	-0.191	0.001	0.750	0.677	0.996	38.593	0.101	0.372
18.0	1.479	0.04941	-0.203	0.001	0.775	0.607	0.996	29.944	0.117	0.387
19.0	1.368	0.06293	-0.217	0.000	0.804	0.506	0.996	21.746	0.138	0.408
20.0	1.220	0.08909	-0.232	-0.000	0.845	0.313	0.996	13.695	0.182	0.440
21.0	1.115	0.11776	-0.234	-0.000	0.895	0.115	0.996	9.472	0.213	0.460
22.0	1.060	0.12677	-0.238	-0.000	0.976	0.098	0.993	8.359	0.172	0.474
23.0	1.005	0.13116	-0.243	0.000	0.984	0.106	0.991	7.660	0.188	0.492
24.0	0.945	0.14649	-0.245	-0.000	0.988	0.071	0.991	6.452	0.204	0.509
25.0	0.889	0.16062	-0.248	-0.000	0.988	0.057	0.991	5.533	0.180	0.529
26.0	0.834	0.16501	-0.253	-0.000	0.988	0.063	0.991	5.055	0.185	0.553
27.0	0.781	0.18688	-0.255	-0.000	0.988	0.045	0.990	4.180	0.188	0.576
28.0	0.731	0.19478	-0.259	-0.000	0.988	0.045	0.991	3.752	0.173	0.604
29.0	0.683	0.20919	-0.262	-0.000	0.987	0.043	0.991	3.267	0.171	0.634
30.0	0.639	0.21616	-0.266	-0.000	0.987	0.043	0.991	2.956	0.167	0.667

