Nome = NACA 63-618
Mach = 0; Re = 4000000; T.U. = 1.0; T.L. = 1.0
Superfice = 0; Modello per ls stallo = 0; Transition model = 8; Allungamento = 0; Ala in effetto suolo = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-10.0	-0.538	0.01237	-0.110	0.551	0.013	1.000	0.789	-43.471	0.271	0.046
-9.0	-0.432	0.01088	-0.112	0.538	0.016	1.000	0.818	-39.723	0.271	-0.009
-8.0	-0.321	0.00973	-0.114	0.518	0.019	1.000	0.846	-33.044	0.270	-0.105
-7.0	-0.206	0.00884	-0.116	0.503	0.023	1.000	0.875	-23.329	0.269	-0.314
-6.0	-0.088	0.00812	-0.119	0.490	0.031	1.000	0.907	-10.811	0.269	-1.101
-5.0	0.034	0.00761	-0.121	0.473	0.046	1.000	0.944	4.416	0.271	3.851
-4.0	0.158	0.00730	-0.124	0.461	0.059	1.000	0.998	21.645	0.266	1.033
-3.0	0.283	0.00711	-0.125	0.445	0.079	1.000	0.998	39.774	0.261	0.692
-2.0	0.407	0.00685	-0.126	0.430	0.161	1.000	0.998	59.419	0.260	0.560
-1.0	0.531	0.00662	-0.128	0.415	0.244	1.000	0.998	80.258	0.260	0.490
-0.0	0.655	0.00662	-0.129	0.388	0.353	1.000	0.998	99.055	0.260	0.447
1.0	0.779	0.00718	-0.130	0.329	0.410	1.000	0.998	108.573	0.260	0.417
2.0	0.903	0.00818	-0.131	0.259	0.435	1.000	0.998	110.358	0.259	0.395
3.0	1.019	0.00987	-0.132	0.156	0.450	1.000	0.998	103.269	0.259	0.380
4.0	1.139	0.01057	-0.133	0.121	0.465	0.997	0.998	107.798	0.258	0.367
5.0	1.257	0.01215	-0.134	0.052	0.482	0.995	0.998	103.413	0.257	0.357
6.0	1.366	0.01241	-0.135	0.039	0.499	0.982	0.998	110.105	0.253	0.349
7.0	1.465	0.01446	-0.135	0.024	0.513	0.952	0.998	101.268	0.251	0.342
8.0	1.555	0.01581	-0.135	0.018	0.532	0.923	0.998	98.348	0.251	0.337
9.0	1.636	0.01739	-0.135	0.014	0.550	0.898	0.998	94.086	0.250	0.333
10.0	1.705	0.01923	-0.135	0.011	0.567	0.873	0.997	88.634	0.249	0.329
11.0	1.758	0.02141	-0.135	0.008	0.588	0.848	0.997	82.123	0.247	0.327
12.0	1.794	0.02394	-0.135	0.006	0.610	0.823	0.997	74.933	0.243	0.325
13.0	1.812	0.02689	-0.135	0.005	0.630	0.798	0.997	67.400	0.214	0.324
14.0	1.809	0.03025	-0.134	0.004	0.652	0.774	0.997	59.809	0.277	0.324
15.0	1.784	0.03426	-0.134	0.003	0.680	0.748	0.997	52.073	0.264	0.325
16.0	1.734	0.03918	-0.133	0.002	0.706	0.720	0.997	44.253	0.261	0.327
17.0	1.667	0.04470	-0.133	0.002	0.732	0.691	0.997	37.302	0.261	0.329
18.0	1.588	0.05142	-0.132	0.001	0.760	0.660	0.997	30.881	0.263	0.333
19.0	1.498	0.06019	-0.130	0.001	0.787	0.622	0.997	24.892	0.267	0.337
20.0	1.401	0.07194	-0.128	-0.000	0.816	0.575	0.996	19.472	0.268	0.342
21.0	1.304	0.08356	-0.127	0.000	0.856	0.535	0.996	15.610	0.273	0.347
22.0	1.204	0.10123	-0.124	-0.000	0.904	0.477	0.996	11.896	0.289	0.353
23.0	1.099	0.13056	-0.119	-0.001	0.984	0.385	0.995	8.418	0.309	0.358
24.0	0.999	0.16650	-0.112	-0.001	0.989	0.287	0.994	5.998	0.342	0.362
25.0	0.901	0.21837	-0.100	-0.001	0.990	0.168	0.993	4.126	0.324	0.362
26.0	0.834	0.23352	-0.100	-0.001	0.991	0.163	0.993	3.572	0.289	0.370
27.0	0.767	0.26399	-0.095	-0.001	0.991	0.130	0.993	2.904	0.312	0.374
28.0	0.707	0.29169	-0.092	-0.001	0.991	0.110	0.993	2.423	0.324	0.380
29.0	0.651	0.32942	-0.087	-0.001	0.991	0.083	0.992	1.975	0.334	0.383
30.0	0.601	0.36413	-0.083	-0.001	0.991	0.068	0.992	1.651	0.326	0.388

