Nome = NACA 63-618
Mach = 0; Re = 0; T.U. = 1.0; T.L. = 1.0
Superfice = 0; Modello per ls stallo = 1; Transition model = 8; Allungamento = 0; Ala in effetto suolo = 0
α	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-10.0	-0.576	NaN	-0.128	1.000	1.000	1.000	1.000	NaN	0.264	0.028
-9.0	-0.457	NaN	-0.129	1.000	1.000	1.000	1.000	NaN	0.264	-0.034
-8.0	-0.336	NaN	-0.131	1.000	1.000	1.000	1.000	NaN	0.264	-0.141
-7.0	-0.213	NaN	-0.133	1.000	1.000	1.000	1.000	NaN	0.263	-0.373
-6.0	-0.090	NaN	-0.134	1.000	1.000	1.000	1.000	NaN	0.263	-1.245
-5.0	0.034	NaN	-0.136	1.000	1.000	1.000	1.000	NaN	0.263	4.240
-4.0	0.158	NaN	-0.138	1.000	1.000	1.000	1.000	NaN	0.262	1.118
-3.0	0.283	NaN	-0.139	1.000	1.000	1.000	1.000	NaN	0.262	0.741
-2.0	0.407	NaN	-0.141	1.000	1.000	1.000	1.000	NaN	0.262	0.595
-1.0	0.531	NaN	-0.142	1.000	1.000	1.000	1.000	NaN	0.261	0.517
-0.0	0.656	NaN	-0.143	1.000	1.000	1.000	1.000	NaN	0.261	0.469
1.0	0.779	NaN	-0.145	1.000	1.000	1.000	1.000	NaN	0.261	0.436
2.0	0.903	NaN	-0.146	1.000	1.000	1.000	1.000	NaN	0.260	0.412
3.0	1.023	NaN	-0.147	1.000	1.000	1.000	1.000	NaN	0.260	0.394
4.0	1.145	NaN	-0.148	1.000	1.000	1.000	1.000	NaN	0.260	0.380
5.0	1.266	NaN	-0.149	1.000	1.000	1.000	1.000	NaN	0.259	0.368
6.0	1.384	NaN	-0.151	1.000	1.000	1.000	1.000	NaN	0.259	0.359
7.0	1.499	NaN	-0.152	1.000	1.000	1.000	1.000	NaN	0.259	0.351
8.0	1.611	NaN	-0.153	1.000	1.000	1.000	1.000	NaN	0.259	0.345
9.0	1.718	NaN	-0.153	1.000	1.000	1.000	1.000	NaN	0.259	0.339
10.0	1.819	NaN	-0.154	1.000	1.000	1.000	1.000	NaN	0.259	0.335
11.0	1.911	NaN	-0.155	1.000	1.000	1.000	1.000	NaN	0.259	0.331
12.0	1.994	NaN	-0.156	1.000	1.000	1.000	1.000	NaN	0.259	0.328
13.0	2.067	NaN	-0.157	1.000	1.000	1.000	1.000	NaN	0.260	0.326
14.0	2.125	NaN	-0.157	1.000	1.000	1.000	1.000	NaN	0.262	0.324
15.0	2.167	NaN	-0.158	1.000	1.000	1.000	1.000	NaN	0.266	0.323
16.0	2.189	NaN	-0.158	1.000	1.000	1.000	1.000	NaN	0.284	0.322
17.0	2.194	NaN	-0.159	1.000	1.000	1.000	1.000	NaN	0.122	0.322
18.0	2.183	NaN	-0.159	1.000	1.000	1.000	1.000	NaN	0.233	0.323
19.0	2.156	NaN	-0.159	1.000	1.000	1.000	1.000	NaN	0.242	0.324
20.0	2.115	NaN	-0.160	1.000	1.000	1.000	1.000	NaN	0.246	0.325
21.0	2.061	NaN	-0.160	1.000	1.000	1.000	1.000	NaN	0.248	0.327
22.0	1.998	NaN	-0.160	1.000	1.000	1.000	1.000	NaN	0.249	0.330
23.0	1.926	NaN	-0.160	1.000	1.000	1.000	1.000	NaN	0.250	0.333
24.0	1.848	NaN	-0.160	1.000	1.000	1.000	1.000	NaN	0.251	0.336
25.0	1.767	NaN	-0.160	1.000	1.000	1.000	1.000	NaN	0.252	0.340
26.0	1.684	NaN	-0.160	1.000	1.000	1.000	1.000	NaN	0.252	0.345
27.0	1.600	NaN	-0.159	1.000	1.000	1.000	1.000	NaN	0.253	0.350
28.0	1.517	NaN	-0.159	1.000	1.000	1.000	1.000	NaN	0.254	0.355
29.0	1.436	NaN	-0.159	1.000	1.000	1.000	1.000	NaN	0.255	0.360
30.0	1.358	NaN	-0.158	1.000	1.000	1.000	1.000	NaN	0.255	0.367

